Council,Language,Total,Fiction,NonFiction,DVDs/CDs,Magazines / Newspapers,Adult,YoungAdult,Children,Physical,Digital
Geelong,Cantonese,17,0,0,17,0,17,0,0,17,0
Geelong,Catalan,4,0,0,4,0,4,0,0,4,0
Geelong,Chinese,161,33,0,89,39,128,0,33,161,0
Geelong,Croatian,80,12,0,1,67,68,0,12,80,0
Geelong,Czech,8,4,0,4,0,4,0,4,8,0
Geelong,Danish,94,0,0,94,0,94,0,0,94,0
Geelong,Dutch,71,3,0,15,53,68,0,3,71,0
Geelong,Estonian,6,0,0,6,0,6,0,0,6,0
Geelong,Farsi,51,42,0,9,0,9,0,42,51,0
Geelong,Finnish,8,0,0,8,0,8,0,0,8,0
Geelong,French,632,28,0,552,52,604,0,28,632,0
Geelong,Georgian,1,0,0,1,0,1,0,0,1,0
Geelong,German,228,13,0,123,92,215,0,13,228,0
Geelong,Greek,22,6,0,16,0,16,0,6,22,0
Geelong,Gujarati,8,8,0,0,0,0,0,8,8,0
Geelong,Hebrew,19,1,0,18,0,18,0,1,19,0
Geelong,Hindi,115,33,0,73,9,82,0,33,115,0
Geelong,Hungarian,10,7,0,3,0,3,0,7,10,0
Geelong,Icelandic,29,0,0,29,0,29,0,0,29,0
Geelong,Indonesian,13,5,0,8,0,8,0,5,13,0
Geelong,Italian,171,13,0,136,22,158,0,13,171,0
Geelong,Japanese,287,47,0,240,0,240,0,47,287,0
Geelong,Karen,7,7,0,0,0,0,0,7,7,0
Geelong,Kazakh,1,0,0,1,0,1,0,0,1,0
Geelong,Khmer,9,7,0,2,0,2,0,7,9,0
Geelong,Korean,35,3,0,32,0,32,0,3,35,0
Geelong,Kurdish,13,10,0,3,0,3,0,10,13,0
Geelong,Lao,1,0,0,1,0,1,0,0,1,0
Geelong,Lithuanian,3,2,0,1,0,1,0,2,3,0
Geelong,Malayalam,3,3,0,0,0,0,0,3,3,0
Geelong,Mandarin,50,3,0,47,0,47,0,3,50,0
Geelong,Mongolian,2,0,0,2,0,2,0,0,2,0
Geelong,Nauvhal,2,0,0,2,0,2,0,0,2,0
Geelong,Nepali,6,5,0,1,0,1,0,5,6,0
Geelong,Norwegian,40,4,0,36,0,36,0,4,40,0
Geelong,Panjabi,10,4,0,6,0,6,0,4,10,0
Geelong,Persian,6,0,0,6,0,6,0,0,6,0
Geelong,Polish,57,30,0,17,10,27,0,30,57,0
Geelong,Portuguese,47,38,0,9,0,9,0,38,47,0
Geelong,Romanian,4,2,0,2,0,2,0,2,4,0
Geelong,Russian,49,0,0,16,33,49,0,0,49,0
Geelong,Sami,3,0,0,3,0,3,0,0,3,0
Geelong,Slovak,3,0,0,3,0,3,0,0,3,0
Geelong,Somali,50,50,0,0,0,0,0,50,50,0
Geelong,Spanish,202,41,0,111,50,161,0,41,202,0
Geelong,Swahili,5,5,0,0,0,0,0,5,5,0
Geelong,Swedish,58,0,0,58,0,58,0,0,58,0
Geelong,Swiss German,2,0,0,2,0,2,0,0,2,0
Geelong,Tagalog,4,3,0,1,0,1,0,3,4,0
Geelong,Tamil,44,43,0,1,0,1,0,43,44,0
Geelong,Tetum,1,0,0,1,0,1,0,0,1,0
Geelong,Thai,2,0,0,2,0,2,0,0,2,0
Geelong,Turkish,12,0,0,12,0,12,0,0,12,0
Geelong,Urdu,1,1,0,0,0,0,0,1,1,0
Geelong,Vietnamese,26,19,0,7,0,7,0,19,26,0
Geelong,Yiddish,1,0,0,1,0,1,0,0,1,0
Geelong,Yoruba,36,36,0,0,0,0,0,36,36,0
Geelong,Zulu,2,0,0,2,0,2,0,0,2,0
Glen Eira,Chinese,1620,1618,0,0,2,867,0,753,1611,9
Glen Eira,French,19,16,0,0,3,12,0,7,3,16
Glen Eira,German,1,0,0,0,1,1,0,0,1,0
Glen Eira,Greek,379,374,0,0,5,379,0,0,379,0
Glen Eira,Hebrew,401,400,0,0,1,1,0,400,401,0
Glen Eira,Hindi,1,0,0,0,1,1,0,0,1,0
Glen Eira,Italian,1,0,0,0,1,1,0,0,1,0
Glen Eira,Polish,13,11,0,0,2,6,0,7,2,11
Glen Eira,Russian,2763,2761,0,0,2,2757,0,6,2690,73
Goulburn Valley,Aboriginal languages,2,0,0,1,1,2,0,0,2,0
Goulburn Valley,Afrikaans,59,0,0,0,59,59,0,0,0,59
Goulburn Valley,Albanian,8,8,0,0,0,0,0,8,8,0
Goulburn Valley,Arabic,382,164,54,158,6,248,0,134,376,6
Goulburn Valley,Chinese,362,155,59,42,106,208,0,154,256,106
Goulburn Valley,Czech,1,0,0,1,0,1,0,0,1,0
Goulburn Valley,Danish,45,0,0,14,31,45,0,0,14,31
Goulburn Valley,Dutch,7,0,0,4,3,7,0,0,4,3
Goulburn Valley,Estonian,2,0,0,2,0,2,0,0,2,0
Goulburn Valley,Farsi,53,11,3,39,0,43,0,10,53,0
Goulburn Valley,Finnish,2,0,0,2,0,2,0,0,2,0
Goulburn Valley,French,385,50,2,134,199,335,0,50,186,199
Goulburn Valley,German,123,6,0,12,105,122,0,1,18,105
Goulburn Valley,Greek,4,2,0,2,0,2,0,2,4,0
Goulburn Valley,Gujarati,13,4,9,0,0,13,0,0,13,0
Goulburn Valley,Hebrew,4,0,0,4,0,4,0,0,4,0
Goulburn Valley,Hindi,299,69,18,211,1,261,0,38,299,0
Goulburn Valley,Hungarian,1,0,0,0,1,1,0,0,0,1
Goulburn Valley,Icelandic,2,0,0,2,0,2,0,0,2,0
Goulburn Valley,Indonesian,4,2,0,0,2,2,0,2,2,2
Goulburn Valley,Italian,343,124,18,145,56,277,0,66,287,56
Goulburn Valley,Japanese,143,25,3,9,106,115,0,28,37,106
Goulburn Valley,Kazakh,1,0,0,1,0,1,0,0,1,0
Goulburn Valley,Khmer,1,0,0,1,0,0,0,1,1,0
Goulburn Valley,Korean,11,1,0,6,4,10,0,1,7,4
Goulburn Valley,Malayalam,1,0,0,0,1,1,0,0,0,1
Goulburn Valley,Mandarin,4,0,0,4,0,4,0,0,4,0
Goulburn Valley,Marathi,1,0,0,1,0,1,0,0,1,0
Goulburn Valley,Norwegian,7,0,0,6,1,7,0,0,6,1
Goulburn Valley,Panjabi,20,18,0,2,0,2,0,18,20,0
Goulburn Valley,Persian,321,252,43,26,0,221,0,100,321,0
Goulburn Valley,Polish,2,0,0,2,0,2,0,0,2,0
Goulburn Valley,Portuguese,23,0,0,2,21,23,0,0,2,21
Goulburn Valley,Romanian,1,1,0,0,0,1,0,0,1,0
Goulburn Valley,Russian,59,0,0,11,48,59,0,0,11,48
Goulburn Valley,Somali,9,8,1,0,0,1,0,8,9,0
Goulburn Valley,Spanish,275,31,0,10,234,244,0,31,41,234
Goulburn Valley,Swahili,8,8,0,0,0,0,0,8,8,0
Goulburn Valley,Swedish,52,0,0,22,30,52,0,0,22,30
Goulburn Valley,Tamil,5,4,0,1,0,1,0,4,5,0
Goulburn Valley,Tetum,2,0,1,1,0,2,0,0,2,0
Goulburn Valley,Turkish,85,40,20,25,0,54,0,31,85,0
Goulburn Valley,Urdu,16,15,1,0,0,11,0,5,16,0
Goulburn Valley,Vietnamese,4,1,1,1,1,2,0,2,3,1
