Council,Language,Total,Fiction,NonFiction,DVDs/CDs,Magazines / Newspapers,Adult,YoungAdult,Children,Physical,Digital
Monash,French,772,372,0,254,146,584,188,0,770,2
Monash,Gaelic,1,0,0,0,1,1,0,0,0,1
Monash,German,460,243,0,39,178,460,0,0,457,3
Monash,Greek,4677,4337,0,95,245,4004,673,0,4676,1
Monash,Gujarati,177,175,0,0,2,2,175,0,175,2
Monash,Hebrew,1,0,0,0,1,1,0,0,0,1
Monash,Hindi,1215,722,0,420,73,1015,200,0,1214,1
Monash,Hungarian,1,0,0,0,1,1,0,0,0,1
Monash,Icelandic,1,0,0,0,1,1,0,0,0,1
Monash,Indonesian,259,258,0,0,1,182,77,0,258,1
Monash,Italian,2280,1902,0,162,216,2061,219,0,2276,4
Monash,Japanese,1559,1352,0,119,88,791,768,0,1558,1
Monash,Kannada,1,0,0,0,1,1,0,0,0,1
Monash,Korean,1829,1788,0,35,6,1377,452,0,1827,2
Monash,Lithuanian,1,0,0,0,1,1,0,0,0,1
Monash,Malayalam,35,32,0,0,3,3,32,0,33,2
Monash,Marathi,1,0,0,0,1,1,0,0,0,1
Monash,Norwegian,2,0,0,0,2,2,0,0,0,2
Monash,Odia,1,0,0,0,1,1,0,0,0,1
Monash,Panjabi,479,390,0,88,1,416,63,0,478,1
Monash,Persian,1,0,0,0,1,1,0,0,0,1
Monash,Polish,29,28,0,0,1,29,0,0,28,1
Monash,Portuguese,2,0,0,0,2,2,0,0,0,2
Monash,Portuguese,1,0,0,0,1,1,0,0,0,1
Monash,Romanian,1,0,0,0,1,1,0,0,0,1
Monash,Romanian,1,0,0,0,1,1,0,0,0,1
Monash,Russian,624,600,0,0,24,399,225,0,620,4
Monash,Sami,1,0,0,0,1,1,0,0,0,1
Monash,Serbian,1,0,0,0,1,1,0,0,0,1
Monash,Sinhalese,1933,1893,0,40,0,1328,605,0,1933,0
Monash,Sinhalese,1,0,0,0,1,1,0,0,0,1
Monash,Slovak,1,0,0,0,1,1,0,0,0,1
Monash,Slovenian,1,0,0,0,1,1,0,0,0,1
Monash,Spanish,905,711,0,86,108,693,212,0,902,3
Monash,Swedish,1,0,0,0,1,1,0,0,0,1
Monash,Tagalog,3,0,0,0,3,3,0,0,0,3
Monash,Tamil,1483,1340,0,80,63,1107,376,0,1481,2
Monash,Thai,1,0,0,0,1,1,0,0,0,1
Monash,Turkish,2,0,0,0,2,2,0,0,0,2
Monash,Ukrainian,1,0,0,0,1,1,0,0,0,1
Monash,Urdu,116,96,0,0,20,20,96,0,114,2
Monash,Uzbek,1,0,0,0,1,1,0,0,0,1
Monash,Vietnamese,749,727,0,4,18,368,381,0,747,2
Monash,Welsh,1,0,0,0,1,1,0,0,0,1
Monash,Xhosa,1,0,0,0,1,1,0,0,428,0
Monash,Zulu,1,0,0,0,1,1,0,0,0,1
Monash,ZZZ - Other,428,0,0,428,0,428,0,0,0,1
Moonee Valley,Afrikaans,42,0,0,0,42,42,0,0,0,42
Moonee Valley,Arabic,96,45,1,0,50,51,0,45,46,50
Moonee Valley,Chinese,4495,1736,1275,1174,310,3937,0,558,4192,303
Moonee Valley,Croatian,11,0,1,0,10,11,0,0,4,7
Moonee Valley,French,525,143,8,44,330,380,0,145,196,329
Moonee Valley,German,199,0,3,5,191,199,0,0,8,191
Moonee Valley,Greek,1371,807,214,335,15,1279,0,92,1363,8
Moonee Valley,Hindi,32,0,2,5,25,32,0,0,7,25
Moonee Valley,Italian,2158,933,257,865,103,1993,0,165,2066,92
Moonee Valley,Korean,25,0,0,16,9,25,0,0,16,9
Moonee Valley,Polish,34,0,1,6,27,34,0,0,7,27
Moonee Valley,Somali,248,155,93,0,0,131,0,117,248,0
Moonee Valley,Spanish,2070,1028,252,329,461,1883,0,187,1613,457
Moonee Valley,Vietnamese,2210,943,592,665,10,1941,0,269,2204,6
Moreland,Arabic,3704,1729,720,1136,119,2798,0,906,3596,108
Moreland,Chinese,5871,2433,1521,1492,425,5034,0,837,5463,408
Moreland,Croatian,1175,841,162,160,12,1128,0,47,1167,8
Moreland,French,2696,1302,159,468,767,1993,0,703,1933,763
Moreland,German,497,0,0,0,497,497,0,0,4,493
Moreland,Greek,7308,4200,898,2180,30,6078,0,1230,7300,8
Moreland,Hindi,1277,407,90,753,27,1009,0,268,1256,21
Moreland,Italian,10857,5767,711,4144,235,9601,0,1256,10643,214
Moreland,Nepali,1005,527,290,188,0,759,0,246,1005,0
Moreland,Polish,1271,806,278,159,28,1182,0,89,1247,24
Moreland,Serbian,7,0,0,0,7,7,0,0,1,6
Moreland,Sinhalese,1449,1129,217,92,11,1317,0,132,1441,8
Moreland,Spanish,4807,2394,327,551,1535,3554,14,1239,3148,1659
Moreland,Turkish,2825,1609,571,530,115,2421,0,404,2718,107
Moreland,Urdu,1558,1098,342,115,3,1089,0,469,1556,2
Port Phillip,Chinese,1089,585,288,214,2,849,0,240,1089,0
Port Phillip,French,595,462,48,85,1,356,0,239,595,0
Port Phillip,German,572,447,89,36,0,476,0,96,572,0
Port Phillip,Greek,591,333,81,177,0,433,0,158,591,0
Port Phillip,Hebrew,170,109,49,12,0,102,0,68,170,0
Port Phillip,Hungarian,451,297,100,54,2,0,0,0,451,0
Port Phillip,Italian,50,50,0,0,0,0,0,50,50,0
Port Phillip,Polish,1667,788,364,515,2,1474,0,193,1667,0
Port Phillip,Russian,4105,2496,850,759,2,3594,0,511,4105,0
Port Phillip,Spanish,572,458,71,46,0,366,0,206,572,0
Stonnington,Chinese,1563,1496,0,67,0,494,0,1069,1563,0
Stonnington,French,758,756,0,0,2,361,0,397,758,0
Stonnington,Greek,914,713,0,198,3,690,0,224,914,0
Stonnington,Italian,559,558,0,0,1,214,0,345,559,0
Stonnington,Russian,404,401,0,0,3,404,0,0,404,0
Swan Hill,Arabic,3,3,0,0,0,0,0,3,3,0
Swan Hill,Gujarati,1,1,0,0,0,0,0,1,1,0
Swan Hill,Italian,250,199,18,33,0,250,0,0,250,0
Swan Hill,Panjabi,1,1,0,0,0,0,0,1,1,0
Vision,Arabic,88,88,0,0,0,82,0,6,0,88
Vision,Chinese,7,4,0,0,0,4,0,3,0,7
Vision,French,184,184,0,0,0,184,0,0,0,184
Vision,German,228,228,0,0,0,228,0,0,0,228
Vision,Greek,70,70,0,0,0,70,0,0,0,70
Vision,Italian,164,164,0,0,0,164,0,0,0,164
Vision,Latin,355,355,0,0,0,355,0,0,0,355
Vision,Polish,355,355,0,0,0,355,0,0,0,355
Vision,Russian,204,204,0,0,0,204,0,0,0,204
Vision,Spanish,221,221,0,0,0,221,0,0,0,221
Vision,Vietnamese,48,48,0,0,0,43,0,5,0,48
West Gippsland,Arabic,11,0,0,5,6,11,0,0,5,6
West Gippsland,Chinese,119,12,0,1,106,103,0,16,13,106
West Gippsland,Danish,1,0,0,0,1,0,0,1,0,1
West Gippsland,Farsi,2,2,0,0,0,0,0,2,2,0
West Gippsland,Flemish,3,0,0,0,3,3,0,0,0,3
West Gippsland,French,220,8,0,32,180,212,0,8,40,180
West Gippsland,German,105,0,0,2,103,2,0,103,2,103
West Gippsland,Greek,1,0,0,1,0,1,0,0,1,0
West Gippsland,Italian,71,10,0,5,56,68,0,3,15,56
West Gippsland,Japanese,86,3,0,2,81,82,0,4,5,81
West Gippsland,Korean,6,0,0,2,4,6,0,0,2,4
West Gippsland,Malayalam,2,0,0,2,0,2,0,0,2,1
West Gippsland,Panjabi,2,0,0,2,0,2,0,0,2,0
West Gippsland,Persian,1,1,0,0,0,0,0,1,1,0
West Gippsland,Portuguese,17,0,0,0,17,16,0,1,0,17
West Gippsland,Russian,49,0,0,2,47,2,0,1,2,47
West Gippsland,Somali,4,4,0,0,0,0,0,4,4,0
West Gippsland,Spanish,222,0,0,4,218,219,0,3,4,218
West Gippsland,Swedish,30,0,0,0,30,30,0,0,0,30
West Gippsland,Turkish,2,0,0,2,0,2,0,0,2,0
West Gippsland,Vietnamese,1,0,0,0,1,1,0,0,0,1
West Gippsland,Welsh,4,0,0,0,0,4,0,0,0,4
Whitehorse Manningham,Chinese,22660,12876,8405,1065,314,18691,0,3969,22366,294
Whitehorse Manningham,Farsi,818,615,203,0,0,586,0,232,818,0
Whitehorse Manningham,Greek,1310,1026,263,4,17,986,0,324,1302,8
Whitehorse Manningham,Italian,1578,1103,240,89,146,1267,0,311,1437,141
Wimmera,Greek,6,6,0,0,0,6,0,0,6,0
Wimmera,Italian,28,28,0,0,0,28,0,0,28,0
Wodonga,Arabic,22,22,0,0,0,0,0,22,1,21
Wodonga,Armenian,10,10,0,0,0,0,0,10,0,10
Wodonga,Bengali,23,23,0,0,0,0,0,23,6,17
Wodonga,Burmese,10,10,0,0,0,0,0,10,0,10
Wodonga,Cantonese,10,10,0,0,0,0,0,10,0,10
Wodonga,Danish,32,32,0,0,0,0,0,32,0,32
Wodonga,Dutch,21,21,0,0,0,0,0,21,0,21
Wodonga,Farsi,1,1,0,0,0,0,0,1,1,0
Wodonga,Filipino,10,10,0,0,0,0,0,10,0,10
Wodonga,French,76,70,6,0,0,5,0,71,8,68
Wodonga,German,46,46,0,0,0,0,0,46,3,43
Wodonga,Greek,21,21,0,0,0,0,0,21,0,21
Wodonga,Greek,21,21,0,0,0,0,0,21,0,21
Wodonga,Hindi,61,61,0,0,0,0,0,61,1,60
Wodonga,Indonesian,10,10,0,0,0,0,0,10,0,10
Wodonga,Italian,66,65,1,0,0,1,0,65,3,63
Wodonga,Italian,63,63,0,0,0,0,0,63,0,63
Wodonga,Japanese,14,14,0,0,0,0,0,14,1,13
Wodonga,Kauma,1,1,0,0,0,0,0,1,1,0
Wodonga,Korean,11,11,0,0,0,0,0,11,1,10
Wodonga,Lidepla,6,6,0,0,0,0,0,6,0,6
Wodonga,Malayalam,6,6,0,0,0,0,0,6,0,6
Wodonga,Mandarin,31,31,0,0,0,0,0,31,3,28
Wodonga,Marathi,14,14,0,0,0,0,0,14,0,14
Wodonga,Nepali,12,12,0,0,0,0,0,12,2,10
Wodonga,Panjabi,11,11,0,0,0,0,0,11,1,10
Wodonga,Persian,10,10,0,0,0,0,0,10,0,10
Wodonga,Polish,21,21,0,0,0,0,0,21,0,21
Wodonga,Portuguese,68,68,0,0,0,0,0,68,0,68
Wodonga,Romanian,13,13,0,0,0,0,0,13,0,13
Wodonga,Russian,59,59,0,0,0,0,0,59,1,58
Wodonga,Serbian,19,19,0,0,0,0,0,19,0,19
Wodonga,Sinhalese,10,10,0,0,0,0,0,10,0,10
Wodonga,Somali,1,1,0,0,0,0,0,1,1,0
Wodonga,Spanish,75,75,0,0,0,0,0,75,6,69
Wodonga,Swahili,14,14,0,0,0,0,0,14,9,5
Wodonga,Swedish,50,50,0,0,0,0,0,50,0,50
Wodonga,Tagalog,1,1,0,0,0,0,0,1,1,0
Wodonga,Tamil,22,22,0,0,0,0,0,22,0,22
Wodonga,Telugu,12,12,0,0,0,0,0,12,0,12
Wodonga,Thai,10,10,0,0,0,0,0,10,0,10
Wodonga,Tiwi,1,1,0,0,0,0,0,1,1,0
Wodonga,Turkish,2,2,0,0,0,0,0,2,2,0
Wodonga,Urdu,14,14,0,0,0,0,0,14,0,14
Wodonga,Vietnamese,28,27,1,0,0,0,0,28,3,25
Wyndham,Arabic,212,141,71,0,0,0,0,0,212,0
Wyndham,Chinese,1541,932,495,110,1,1541,0,1,1541,0
Wyndham,Croatian,1,0,0,0,1,0,0,1,1,0
Wyndham,Dari,7,1,1,0,0,0,0,5,7,0
Wyndham,Farsi,32,30,0,2,0,2,30,0,32,0
Wyndham,French,19,0,0,19,0,19,0,1,19,0
Wyndham,Gujarati,354,1,128,2,0,353,0,1,354,0
Wyndham,Hindi,841,554,225,62,0,778,0,1,841,0
Wyndham,Italian,204,146,53,5,0,204,0,0,204,0
Wyndham,Japanese,1,0,0,1,0,1,0,0,1,0
Wyndham,Korean,10,0,0,10,0,10,0,0,10,0
Wyndham,Malayalam,37,0,0,0,37,37,0,0,37,0
Wyndham,Mandarin,5,3,0,2,0,2,0,3,5,0
Wyndham,Panjabi,783,489,279,15,0,783,0,0,783,0
Wyndham,Russian,1,1,0,0,0,0,0,1,0,0
Wyndham,Spanish,366,293,73,0,0,366,0,0,366,0
Wyndham,Tetum,2,1,1,0,0,0,0,1,2,0
Wyndham,Urdu,87,72,15,0,0,86,0,0,87,0
Wyndham,Vietnamese,1,0,1,0,0,1,0,0,1,0
Yarra,Arabic,209,105,0,0,104,104,0,105,105,104
Yarra,Chinese,8011,1979,2538,2097,1397,7613,0,398,7598,413
Yarra,French,778,48,0,0,730,730,0,48,48,730
Yarra,German,506,35,0,0,471,471,0,35,35,471
Yarra,Greek,794,400,98,183,113,766,0,28,786,8
Yarra,Italian,1235,394,115,375,351,1153,0,82,1017,218
Yarra,Somali,49,49,0,0,0,0,0,49,49,0
Yarra,Spanish,2275,510,42,113,1610,2069,0,206,701,1574
Yarra,Vietnamese,4892,1535,1196,1902,259,4650,0,242,4885,7
Yarra,ZZZ - Other,1991,8,0,0,1983,1983,0,8,8,1983
Yarra Plenty,Afrikaans,58,0,0,0,0,0,0,0,0,58
Yarra Plenty,Arabic,1493,590,266,453,10,1212,0,262,1481,12
Yarra Plenty,Bengali,8,0,0,0,0,0,0,0,0,8
Yarra Plenty,Chinese,11162,4328,3110,1942,24,8111,0,1826,9989,1173
Yarra Plenty,Croatian,1079,582,145,257,6,1029,0,49,1078,1
Yarra Plenty,Danish,33,0,0,0,0,0,0,0,0,33
Yarra Plenty,Finnish,6,0,0,0,0,0,0,0,0,6
Yarra Plenty,Flemish,18,0,0,0,0,0,0,0,0,18
Yarra Plenty,French,869,383,31,87,8,304,0,252,565,304
Yarra Plenty,German,1057,308,40,99,5,336,0,126,469,588
Yarra Plenty,Greek,3655,1536,625,821,22,3448,0,193,3650,5
Yarra Plenty,Hindi,652,228,3,398,5,421,0,229,650,2
Yarra Plenty,Hungarian,7,0,0,0,0,0,0,0,0,7
Yarra Plenty,Italian,9748,3391,677,4033,30,8474,0,1103,9647,101
Yarra Plenty,Japanese,249,123,0,1,0,1,0,123,158,91
Yarra Plenty,Korean,6,0,0,0,0,0,0,0,0,6
Yarra Plenty,Latin,9,0,0,0,0,0,0,0,0,9
Yarra Plenty,Macedonian,818,386,133,230,10,759,0,58,818,0
Yarra Plenty,Maltese,390,141,40,209,0,382,0,8,390,0
Yarra Plenty,Norwegian,7,0,0,0,0,0,0,0,0,7
Yarra Plenty,Panjabi,378,152,0,219,4,251,0,127,378,0
Yarra Plenty,Polish,750,217,88,275,7,722,0,28,750,0
Yarra Plenty,Portuguese,43,0,0,0,0,0,0,0,0,43
Yarra Plenty,Russian,58,0,0,0,0,0,0,0,0,58
Yarra Plenty,Serbian,1413,691,181,316,16,1390,0,23,1413,0
Yarra Plenty,Sinhalese,4,0,0,0,1,4,0,0,4,0
Yarra Plenty,Somali,82,82,0,0,0,0,0,82,82,0
Yarra Plenty,Spanish,1403,311,102,370,4,783,0,92,875,528
Yarra Plenty,Swedish,35,0,0,0,0,0,0,0,0,35
Yarra Plenty,Turkish,1014,340,220,429,6,953,0,59,1012,2
Yarra Plenty,Vietnamese,2143,927,462,706,7,1813,0,326,2139,4
Yarra Plenty,Vietnamese,2315,931,487,763,134,1994,0,321,2315,0
Yarra Plenty,Welsh,5,0,0,0,0,0,0,0,0,5
